error  * no darle pelota
341K available
Compiling PEGASSUS.PRG
PEGASSUS.PRG(139)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(141)  Warning C1003  Ambiguous reference: 'EXT_MODULO'
PEGASSUS.PRG(141)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(141)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(142)  Warning C1003  Ambiguous reference: 'MENSAJE2'
PEGASSUS.PRG(142)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(142)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(144)  Warning C1003  Ambiguous reference: 'INSTALADO'
PEGASSUS.PRG(144)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(144)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(145)  Warning C1003  Ambiguous reference: 'JT1'
PEGASSUS.PRG(145)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(145)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(146)  Warning C1003  Ambiguous reference: 'NIV_ACCESO'
PEGASSUS.PRG(146)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(146)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(147)  Warning C1003  Ambiguous reference: 'JT1'
PEGASSUS.PRG(147)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(147)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(147)  Warning C1004  Ambiguous reference, assuming memvar: 'JT1'
PEGASSUS.PRG(154)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(156)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(156)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(156)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(157)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(157)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU1'
PEGASSUS.PRG(158)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(160)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(160)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(160)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(161)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(161)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU2'
PEGASSUS.PRG(162)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(164)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(164)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(164)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(165)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(165)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU3'
PEGASSUS.PRG(166)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(168)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(168)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(168)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(169)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(169)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU4'
PEGASSUS.PRG(170)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(172)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(172)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(172)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(173)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(173)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU5'
PEGASSUS.PRG(174)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(176)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(176)  Warning C1004  Ambiguous reference, assuming memvar: 'TOTREG'
PEGASSUS.PRG(176)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(177)  Warning C1003  Ambiguous reference: 'TOTREG'
PEGASSUS.PRG(177)  Warning C1004  Ambiguous reference, assuming memvar: 'ASMENU6'
PEGASSUS.PRG(179)  Warning C1004  Ambiguous reference, assuming memvar: 'JEG'
